blockNumber,transactionHash,event,args,timestamp
23749492,0x2aec0f7fd1288149420e6175efe13aab85c6463163355bf866ca08557cc27788,SupplyCollateral,"[""0x0BA890879F043F2bD0E0aE44d3AD09C368726de2"",""0x0BA890879F043F2bD0E0aE44d3AD09C368726de2"",""0xc00e94Cb662C3520282E6f5717214004A7f26888"",{""type"":""BigNumber"",""hex"":""0x0875873831ae6000""}]",2025-11-07T19:31:47.000Z
23750084,0x1afb809fbd2f5befc22b575e64ce856b0c3e4bdf932f6e21329fc8799505e349,SupplyCollateral,"[""0x58D12F8f832C1F39Ff4bD47dc37a767d1e1EACD9"",""0x58D12F8f832C1F39Ff4bD47dc37a767d1e1EACD9"",""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599"",{""type"":""BigNumber"",""hex"":""0x06db17""}]",2025-11-07T21:30:35.000Z
23741068,0x0e636f4c5b6f6285b0a7189b8ef1c85e5f5ba14d3d3676a421dbe652e58edd5b,AbsorbCollateral,"[""0x81463B0f960f247f704377661ec81C1fd65b5128"",""0x1597E4B7cF6D2877A1d690b6088668afDb045763"",""0x15700B564Ca08D9439C58cA5053166E8317aa138"",{""type"":""BigNumber"",""hex"":""0x0302cccb9ed57573000000""},{""type"":""BigNumber"",""hex"":""0xab96c0b2fe00""}]",2025-11-06T15:14:59.000Z
23741744,0xb20ebba3734f7f75f790a7857f849b1017ce37b43bc318e802c8797f80d0cd90,AbsorbCollateral,"[""0x00000000009E50a7dDb7a7B0e2ee6604fd120E49"",""0xA65e4B8AF4d325838D68FD9dDf925eA3Ca96f167"",""0x15700B564Ca08D9439C58cA5053166E8317aa138"",{""type"":""BigNumber"",""hex"":""0x014266e3eff835724d6a58""},{""type"":""BigNumber"",""hex"":""0x0acf168c0c5e""}]",2025-11-06T17:31:11.000Z
23741858,0xda1bcbe1dc704831dcb0654e6d10a9203b7d489f8b45a8221b7c4123fba13d5c,AbsorbCollateral,"[""0x36331E299247E5D0D3261e1d9852f6E0cFFEe95C"",""0x7FD2f0ff55045451232cFfd5293AA728880c79B4"",""0x5C5b196aBE0d54485975D1Ec29617D42D9198326"",{""type"":""BigNumber"",""hex"":""0xd9f1c3430dbffb4d5ad9""},{""type"":""BigNumber"",""hex"":""0x060477f94d8d""}]",2025-11-06T17:54:11.000Z
23741858,0xda1bcbe1dc704831dcb0654e6d10a9203b7d489f8b45a8221b7c4123fba13d5c,AbsorbCollateral,"[""0x36331E299247E5D0D3261e1d9852f6E0cFFEe95C"",""0x7FD2f0ff55045451232cFfd5293AA728880c79B4"",""0x15700B564Ca08D9439C58cA5053166E8317aa138"",{""type"":""BigNumber"",""hex"":""0x01244518564e78516176f3""},{""type"":""BigNumber"",""hex"":""0x0789a5452093""}]",2025-11-06T17:54:11.000Z
23743167,0xbba06f9504d50170fb826565c9ba885099e1df7d49837deca4de7e9f312bcfcb,AbsorbCollateral,"[""0x00000000009E50a7dDb7a7B0e2ee6604fd120E49"",""0x21933a31efa8CdbFa714Cbb524063de36bB8b37d"",""0x5C5b196aBE0d54485975D1Ec29617D42D9198326"",{""type"":""BigNumber"",""hex"":""0x02a1a6c484921d0649b841""},{""type"":""BigNumber"",""hex"":""0x03f8c42bcf4f""}]",2025-11-06T22:17:23.000Z
23741068,0x0e636f4c5b6f6285b0a7189b8ef1c85e5f5ba14d3d3676a421dbe652e58edd5b,AbsorbDebt,"[""0x81463B0f960f247f704377661ec81C1fd65b5128"",""0x1597E4B7cF6D2877A1d690b6088668afDb045763"",{""type"":""BigNumber"",""hex"":""0x02e7046d94c0""},{""type"":""BigNumber"",""hex"":""0x01222d6221b5ef""}]",2025-11-06T15:14:59.000Z
23741744,0xb20ebba3734f7f75f790a7857f849b1017ce37b43bc318e802c8797f80d0cd90,AbsorbDebt,"[""0x00000000009E50a7dDb7a7B0e2ee6604fd120E49"",""0xA65e4B8AF4d325838D68FD9dDf925eA3Ca96f167"",{""type"":""BigNumber"",""hex"":""0x01366f36f439""},{""type"":""BigNumber"",""hex"":""0x793c9d1984bb""}]",2025-11-06T17:31:11.000Z
23741858,0xda1bcbe1dc704831dcb0654e6d10a9203b7d489f8b45a8221b7c4123fba13d5c,AbsorbDebt,"[""0x36331E299247E5D0D3261e1d9852f6E0cFFEe95C"",""0x7FD2f0ff55045451232cFfd5293AA728880c79B4"",{""type"":""BigNumber"",""hex"":""0x01fb332dd530""},{""type"":""BigNumber"",""hex"":""0xc614d55a7df6""}]",2025-11-06T17:54:11.000Z
